USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
MO|2917164|1600000US2917164|02393667|Creighton city|25|A|893345|0|0.345|0.|38.496557|-94.072089
MO|2917218|1600000US2917218|02393672|Crestwood city|25|A|9287533|0|3.586|0.|38.55688|-90.378228
MO|2917272|1600000US2917272|02393674|Creve Coeur city|25|A|26613293|0|10.275|0.|38.662023|-90.443048
MO|2917344|1600000US2917344|02393675|Crocker city|25|A|3191448|900|1.232|0.|37.946872|-92.267918
MO|2917524|1600000US2917524|02393680|Cross Timbers city|25|A|1157069|0|0.447|0.|38.024273|-93.229358
MO|2917632|1600000US2917632|02393684|Crystal City city|25|A|12056315|16566|4.655|0.006|38.221544|-90.381303
MO|2917650|1600000US2917650|02393687|Crystal Lake Park city|25|A|251491|0|0.097|0.|38.621241|-90.432053
MO|2917660|1600000US2917660|02393688|Crystal Lakes city|25|A|2843777|420851|1.098|0.162|39.358307|-94.186616
MO|2917668|1600000US2917668|02393690|Cuba city|25|A|8270610|0|3.193|0.|38.067095|-91.405733
MO|2917902|1600000US2917902|02393699|Curryville city|25|A|709912|1885|0.274|0.001|39.345743|-91.341513
MO|2917992|1600000US2917992|02398667|Dadeville village|47|A|2569505|7782|0.992|0.003|37.479698|-93.673684
MO|2918118|1600000US2918118|02396676|Dalton town|43|A|468473|0|0.181|0.|39.397606|-92.992063
MO|2918190|1600000US2918190|02587062|Danville CDP|57|S|977268|14938|0.377|0.006|38.912205|-91.529786
MO|2918253|1600000US2918253|02393718|Dardenne Prairie city|25|A|13822509|3430|5.337|0.001|38.741116|-90.715362
MO|2918316|1600000US2918316|02398684|Darlington village|47|A|1065217|0|0.411|0.|40.198004|-94.399682
